"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Dataset","Region","Comparison"
"220","BP","GO:0031099","regeneration","1/1","131/19219",0.00681617149695612,0.0132185040101685,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"221","BP","GO:0031214","biomineral tissue development","1/1","162/19219",0.00842915864509086,0.0142143886468458,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"222","BP","GO:0031331","positive regulation of cellular catabolic process","1/1","369/19219",0.0191997502471511,0.0213636565250063,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"223","BP","GO:0031348","negative regulation of defense response","1/1","207/19219",0.0107705916020603,0.0153502132281332,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"224","BP","GO:0031400","negative regulation of protein modification process","1/1","459/19219",0.0238826161610907,0.024475544004682,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"225","BP","GO:0031641","regulation of myelination","1/1","49/19219",0.00254956033092246,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"226","BP","GO:0031643","positive regulation of myelination","1/1","22/19219",0.00114470055674065,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"227","BP","GO:0031644","regulation of nervous system process","1/1","175/19219",0.00910557261043743,0.0143730404868242,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"228","BP","GO:0031646","positive regulation of nervous system process","1/1","53/19219",0.00275768770487528,0.0112352268360164,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"229","BP","GO:0031647","regulation of protein stability","1/1","275/19219",0.0143087569592589,0.0182386268283512,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"230","BP","GO:0032102","negative regulation of response to external stimulus","1/1","338/19219",0.0175867630990166,0.0201894553124018,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"231","BP","GO:0032147","activation of protein kinase activity","1/1","85/19219",0.00442270669649814,0.0117147792009682,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"232","BP","GO:0032148","activation of protein kinase B activity","1/1","21/19219",0.00109266871325264,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"233","BP","GO:0032350","regulation of hormone metabolic process","1/1","42/19219",0.00218533742650495,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"234","BP","GO:0032352","positive regulation of hormone metabolic process","1/1","21/19219",0.00109266871325264,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"235","BP","GO:0032611","interleukin-1 beta production","1/1","90/19219",0.00468286591393929,0.0118441743989242,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"236","BP","GO:0032612","interleukin-1 production","1/1","108/19219",0.00561943909672724,0.0119660997236192,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"237","BP","GO:0032635","interleukin-6 production","3/14","149/19219",0.000156130810783137,0.0176948252220889,0.00942263138761391,"Bank1/Il6/Inpp5d",3,"HPP vs CTX","HPP","CTX"
"238","BP","GO:0032640","tumor necrosis factor production","1/1","158/19219",0.00822103127113805,0.0141266455070505,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"239","BP","GO:0032651","regulation of interleukin-1 beta production","1/1","84/19219",0.0043706748530099,0.0116910169713516,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"240","BP","GO:0032652","regulation of interleukin-1 production","1/1","102/19219",0.00530724803579785,0.0118779141814381,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"241","BP","GO:0032675","regulation of interleukin-6 production","3/14","142/19219",0.000135414945681963,0.0176948252220889,0.00942263138761391,"Bank1/Il6/Inpp5d",3,"HPP vs CTX","HPP","CTX"
"242","BP","GO:0032680","regulation of tumor necrosis factor production","1/1","154/19219",0.00801290389718501,0.0139455346672162,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"243","BP","GO:0032691","negative regulation of interleukin-1 beta production","1/1","26/19219",0.00135282793069347,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"244","BP","GO:0032692","negative regulation of interleukin-1 production","1/1","34/19219",0.00176908267859932,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"245","BP","GO:0032715","negative regulation of interleukin-6 production","2/14","46/19219",0.000500746981886691,0.0394992964189716,0.0210336810652109,"Bank1/Inpp5d",2,"HPP vs CTX","HPP","CTX"
"246","BP","GO:0032720","negative regulation of tumor necrosis factor production","1/1","61/19219",0.00317394245278113,0.0112352268360164,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"247","BP","GO:0032870","cellular response to hormone stimulus","1/1","447/19219",0.023258234039232,0.0241476502548814,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"248","BP","GO:0032878","regulation of establishment or maintenance of cell polarity","1/1","24/19219",0.00124876424371723,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"249","BP","GO:0032881","regulation of polysaccharide metabolic process","1/1","40/19219",0.00208127373952849,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"250","BP","GO:0032885","regulation of polysaccharide biosynthetic process","1/1","34/19219",0.00176908267859932,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"251","BP","GO:0032943","mononuclear cell proliferation","1/1","288/19219",0.0149851709246057,0.0185351886379519,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"252","BP","GO:0032944","regulation of mononuclear cell proliferation","1/1","222/19219",0.0115510692543837,0.0160005882783937,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"253","BP","GO:0032946","positive regulation of mononuclear cell proliferation","1/1","129/19219",0.00671210780997966,0.0131576698224511,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"254","BP","GO:0033002","muscle cell proliferation","1/1","226/19219",0.0117591966283366,0.0160837374538709,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"255","BP","GO:0033143","regulation of intracellular steroid hormone receptor signaling pathway","1/1","70/19219",0.0036422290441751,0.0113013164056405,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"256","BP","GO:0033144","negative regulation of intracellular steroid hormone receptor signaling pathway","1/1","35/19219",0.00182111452208755,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"257","BP","GO:0033173","calcineurin-NFAT signaling cascade","1/1","44/19219",0.00228940111348119,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"258","BP","GO:0033500","carbohydrate homeostasis","1/1","254/19219",0.0132160882460067,0.0174182910620914,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"259","BP","GO:0033674","positive regulation of kinase activity","1/1","386/19219",0.020084291586451,0.0217680046535786,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"260","BP","GO:0033692","cellular polysaccharide biosynthetic process","1/1","58/19219",0.00301784692231644,0.0112352268360164,NA,"Igf1",1,"PFC vs STR","PFC","STR"
