"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Comparison","Mark"
"GO:00300032","BP","GO:0030003","cellular cation homeostasis","14/213","498/28943",2.1605674452892e-05,0.00138569506301342,0.000994453596873887,"Atp1b1/Tgfb2/Kcnh1/Slc24a4/Bmp6/Scara5/Fxn/Slc4a10/Steap2/Slc4a5/Atp2b2/Myo5a/Trpc1/Atp2b3",14,"HPPvsCTX","H3K27ac"
"GO:0030336","BP","GO:0030336","negative regulation of cell migration","11/213","312/28943",2.19809187723074e-05,0.00138569506301342,0.000994453596873887,"Sulf1/Tmeff2/Ptprk/Kank1/Magi2/Ppargc1a/Cxcl13/Tgfbr3/Srgap3/Abhd2/Sfrp1",11,"HPPvsCTX","H3K27ac"
"GO:00163581","BP","GO:0016358","dendrite development","11/213","315/28943",2.39990514178115e-05,0.00146817280614037,0.0010536443167544,"Hecw2/Arhgap44/Ntrk2/Sdc2/Myo5b/Vldlr/Bmp7/Mpdz/Iqsec1/Nedd4/Myo6",11,"HPPvsCTX","H3K27ac"
"GO:00468791","BP","GO:0046879","hormone secretion","12/213","375/28943",2.42398229566717e-05,0.00146817280614037,0.0010536443167544,"Srebf1/Bmp6/Abat/Adcy5/Fbn1/Ptpn11/Aqp1/Syt9/Sfrp1/Myo5a/Myrip/Slc16a2",12,"HPPvsCTX","H3K27ac"
"GO:00487051","BP","GO:0048705","skeletal system morphogenesis","10/213","261/28943",2.57956933842747e-05,0.00153236340123124,0.00109971113901382,"Tgfb2/Fgf18/Bmp6/Bmp7/Frem1/Msx1/Pdgfra/Tulp3/Sfrp1/Gsc",10,"HPPvsCTX","H3K27ac"
"GO:0048010","BP","GO:0048010","vascular endothelial growth factor receptor signaling pathway","5/213","48/28943",2.72600767789007e-05,0.00154561619473377,0.00110922209746275,"Sulf1/Grb10/Fgf18/Myof/Nedd4",5,"HPPvsCTX","H3K27ac"
"GO:00420601","BP","GO:0042060","wound healing","12/213","380/28943",2.75856731937671e-05,0.00154561619473377,0.00110922209746275,"Tmeff2/Tgfb2/Abat/Kank1/Myof/Grhl3/Arhgef19/Pdpn/Pdgfra/Aqp1/Pard3/Yap1",12,"HPPvsCTX","H3K27ac"
"GO:00158331","BP","GO:0015833","peptide transport","11/213","320/28943",2.77195225826108e-05,0.00154561619473377,0.00110922209746275,"Srebf1/Abat/Adcy5/Fbn1/Ptpn11/Aqp1/Syt9/Sfrp1/Myo5a/Myrip/Slc16a2",11,"HPPvsCTX","H3K27ac"
"GO:00508781","BP","GO:0050878","regulation of body fluid levels","12/213","381/28943",2.83010335514821e-05,0.00154561619473377,0.00110922209746275,"Prlr/Abat/Emp2/Stk39/Grhl3/Pdpn/Pdgfra/Aqp1/Slc4a5/Atp2b2/Fa2h/Trpc1",12,"HPPvsCTX","H3K27ac"
"GO:00905961","BP","GO:0090596","sensory organ morphogenesis","11/213","321/28943",2.85205966655309e-05,0.00154561619473377,0.00110922209746275,"Ntrk2/Col8a1/Crb2/Bmp7/Col8a2/Grhl3/Msx1/Aqp1/Atp2b2/Myo6/Gsc",11,"HPPvsCTX","H3K27ac"
