"accession_code" "MElightgreen" "MEblack" "MEmediumpurple3" "MEmediumorchid" "MEred" "MEskyblue" "MEdarkseagreen4" "MEgreenyellow" "MEivory" "MEcyan" "MEantiquewhite4" "MElightsteelblue1" "MEdarkslateblue" "MEdarkolivegreen" "MEcoral2" "MEnavajowhite2" "MEblue" "MEdarkgreen" "MElightcyan" "MEbisque4" "MEgreen" "MEplum2" "MEskyblue1" "MEyellowgreen" "MEbrown4" "MEsalmon4" "MEcoral1" "MEpalevioletred3" "MEhoneydew1" "MElavenderblush3" "MEsteelblue" "MEthistle1" "MEgrey" "time_point"
"11" "MPFC5" -0.0965998967353404 -0.0823241425215986 -0.182388367213415 0.875618123426235 0.394496780821148 -0.00105604551889639 -0.0490562580208912 -0.0145245455601772 -0.193663583182282 -0.10414392670446 0.102531161994818 -0.0981014444011795 0.010802204361179 -0.111047128628303 -0.213587587079792 -0.243386450809911 -0.0529542579890792 -0.108033010676826 -0.20204797786355 0.141858137473825 -0.178362877299029 0.457038474548051 0.171012253982995 0.345574112845405 0.0128494982507155 0.131791639711895 0.196489543031009 0.168089545415426 0.0655366448757356 0.16722291813479 0.0078847037581391 0.0341832947867623 0.204697489777337 "PFC"
"12" "MPFC6" -0.0176058912887643 -0.166668207487308 -0.172699897084175 0.0534841566653353 -0.405742142804407 -0.451627730334876 -0.030476513075015 0.0316639159599753 -0.125541995833881 -0.0154802505546453 0.269921256092617 0.00588097880830084 -0.0535450401128744 -0.0766757369697663 -0.223685094789601 -0.219217487110698 -0.0505148997155752 -0.110698736207504 -0.251479014401983 -0.249220105898821 -0.263181358217622 0.22758264857202 0.0557049076113345 0.358044554645983 -0.0880393973195278 0.236182065916914 0.271963130604768 0.246504934727845 0.0883010444033441 0.179446022514342 -0.00287794020990986 0.128551469446014 -0.00282829769257319 "PFC"
"13" "MPFC7" 0.0125517554149617 -0.124651344448851 0.0136127392774295 -0.0739792729860273 -0.00803899845848005 -0.0740257185536672 -0.00168996368214598 0.232611624086034 -0.00417158650585875 0.0465167343538145 0.187667886045802 -0.0440338284737866 -0.0267627147309404 -0.140746966419477 -0.22741503824041 -0.169122488386425 -0.146950824747302 -0.118580460008338 -0.153425654751425 0.108058856670058 -0.148990068125211 -0.0147472089292159 0.0858514758504268 0.231276588023984 0.128292273399864 0.144888052267849 0.039972578305685 0.103112183442389 -0.0370277308315761 0.119586737319044 0.0761843838721328 -0.0664243654968543 0.175694491446625 "PFC"
"14" "MPFC8" 0.0727402937254451 -0.147602193756989 -0.053130045018882 -0.1582219269063 -0.12552535640497 -0.0403577429121754 -0.0631835577916734 0.0172949549693498 0.142966506186961 0.154308039268407 0.254716371233462 0.329539055476686 -0.0150153938319635 0.271529328517309 0.177382592448044 0.218755182661492 -0.149129602315933 -0.25694973838926 -0.0257382615100431 -0.222768494306252 -0.325394814185377 0.169327041065678 -0.0964957632011972 0.107698040126676 -0.0187693726524194 0.13904493611136 0.0567456623584028 0.112409305616064 -0.185475246026628 -0.207158506153709 -0.13233371700489 0.0583519451778079 0.0742082865612184 "PFC"
"15" "MPFC9" 0.181286499826274 -0.133108172708174 0.119364471921418 0.0857164450135319 0.00627859334683579 0.0395722691672992 -0.0841251206462529 0.464599619365021 0.286792151867534 0.222446653526355 0.245338583289723 0.272608852739355 0.957721916697668 0.406258803654774 0.307936403055254 0.329282400203733 -0.17158364607922 -0.182825629526257 0.029388954521308 -0.0224360766904416 -0.245400538737415 0.00169432352436199 0.00860767987054148 0.229291494636864 -0.457993578641341 -0.196884165069379 -0.29871538686128 -0.274638739651015 -0.403034216046398 -0.453231268720898 -0.101185432291834 0.0269214188613073 0.0443321087558853 "PFC"
"16" "MSTR5" -0.160654615424455 -0.136775458453272 -0.301565122433675 -0.147224813248327 -0.076387090520888 -0.29693710073296 -0.110559971937761 -0.242420485579971 -0.223212281527494 -0.025285947038802 0.115635786378243 -0.0535989421416546 -0.11549093198808 -0.0445624742569325 -0.177434799791191 -0.374135191506829 0.183389563410004 -0.232355378846087 -0.191599568436048 -0.184618605075493 -0.119712550342934 0.240506357444149 -0.20302839528578 -0.248214514146619 -0.0302541401364007 0.260843517344253 0.372236404765981 0.211888932711292 0.146197444803994 0.244058851543559 0.3230115262818 0.262523125168575 -0.376225936710339 "STR"
"17" "MSTR6" -0.367866164128563 -0.0766368523451384 -0.264885524188322 -0.0925397752185309 0.250287884042027 0.159452471061683 -0.090905033891355 -0.377476485394407 -0.361285076105555 -0.0416049491628873 -0.265450476489385 -0.197754136177838 -0.0881121825136013 0.000524267840806183 -0.124878624743854 -0.0475908547708173 0.322191585503737 0.318332034736012 0.13805253587044 0.294712666363961 0.180611683649614 0.021801313198071 0.313570706894472 0.100997383155882 -0.0418856531684662 0.140241793456418 0.231759047866058 -0.0795168120041644 0.146320883312559 0.235249150216334 -0.246601790869566 0.283724037707263 0.0576025901076351 "STR"
"18" "MSTR7" -0.192620212403914 -0.116178001945771 -0.267883966653697 -0.118601622571502 -0.297637027131696 -0.282096269950462 0.0505848593029257 -0.214945809675675 -0.186044969485796 0.0139813857503325 0.0553901689954019 -0.106786408641494 -0.0492173045626899 -0.013516614347811 -0.186935103790657 -0.277029996532504 0.177028759578725 -0.0942176057551786 -0.133172343462113 0.224712131846919 0.184788617892937 -0.248663655210865 -0.245679617539884 -0.297274075980294 0.0706225469819125 0.217523902040553 0.201168722548149 0.0302743315870886 0.0876012860500803 0.248672635968741 0.523435712361346 0.23072210262291 0.147331658448439 "STR"
"19" "MSTR8" 0.0925287244526447 -0.156988481974116 -0.015613746254468 -0.14147419636629 -0.397029682350689 -0.2656378205649 -0.0971901637225148 0.303008642350842 0.104418351905632 0.233880045853594 0.219134327274717 0.258095837133742 -0.0398644954951457 0.500990359498145 0.335113415888433 0.341678109417469 0.110997607229501 -0.149920154141143 -0.0199205953454451 -0.286535513469215 -0.144720230422305 0.100566207300177 -0.0790252135668912 -0.147324688062529 -0.303150379169367 -0.132195700405995 -0.283171823946676 -0.333747798977077 -0.248614545070198 -0.318949726192929 0.289420122335943 0.316476014255374 -0.626412842824887 "STR"
"20" "MSTR9" -0.0955611019660763 -0.0974939679776501 0.0184205400510064 0.0307925840476387 -0.0353239921418508 0.170989452128509 0.0129766675258788 0.083069634285884 0.274449299144069 0.203446192338273 0.0823853192836559 0.177733410493201 0.00238633928422005 0.00992260728900116 -0.038604127257082 0.0742911546458083 0.120676494129587 -0.0698562656922511 0.190635324298818 -0.00685435118991808 -0.0242902415908623 -0.264084404904355 -0.202148971774213 -0.238114779164887 0.1948602496654 0.0649769247928317 -0.0739027525889088 -0.161221391314657 -0.146370484115991 -0.141918986538785 0.284464510125018 -0.0687974501075897 0.0715328805376978 "STR"
