"module" "metadata.time_pointCTX" "metadata.time_pointHPP" "metadata.time_pointPFC" "metadata.time_pointSTR" "metadata.time_pointVTA" "AveExpr" "F" "P.Value" "adj.P.Val"
"18" "MEthistle1" -0.0891577926155692 -0.110293164874832 0.0363167525550075 0.204929565929306 -0.0469603581775746 4.65484132720443e-17 2.06679885617992 0.0969809792752869 0.177798462004693
"19" "MEgrey" 0.160809551480626 -0.0956205290691215 0.0992208157696984 -0.145234330088291 0.0401381350212971 1.85037170770859e-17 1.97772576953119 0.110285821798009 0.187566263229799
"20" "MEbrown4" 0.15442905417257 -0.117909340083129 -0.0847321153925416 -0.0219614751653843 0.155801944149531 -4.79217360238593e-17 1.93519193233302 0.117267185798932 0.187566263229799
"21" "MEhoneydew1" -0.084512290480577 0.189415774248254 -0.0943399007251045 -0.00297308300391104 -0.0779701412305341 -4.5102810375397e-17 1.9229293994501 0.119360349328054 0.187566263229799
"22" "MEcoral1" 0.135669183386677 -0.0895764520768654 0.0532911054877168 0.0896179197289206 -0.179940786792175 4.48136897960675e-18 1.86623334350699 0.12953010251556 0.194295153773341
"23" "MEgreenyellow" 0.000326277943909631 -0.109915611627737 0.146329113764041 -0.0897529008026654 0.0938268732959773 -3.87421576301487e-17 1.48228659675449 0.224432750802754 0.322012207673516
"24" "MElightsteelblue1" 0.135903180968511 -0.109757690468405 0.093178722829875 0.0155379521331914 -0.107162488969736 -8.67361737988404e-19 1.3521693903168 0.269503216843236 0.370566923159449
"25" "MEmediumorchid" -0.0224536045371965 0.0229981310034868 0.156523505042555 -0.0938095646714021 -0.0904360174319744 6.79433361424249e-17 1.13335654056549 0.363995634778113 0.48047423790711
"26" "MEdarkslateblue" -0.0596529803327363 -0.0346395706751923 0.174640194476614 -0.0580597150550595 -0.0341132629314198 -2.95770352654046e-16 1.07489645651238 0.3936019983647 0.499571767155196
"27" "MEnavajowhite2" -0.114869228712635 0.053993414516356 -0.0167377686883619 -0.0565573557493745 0.125498012485272 9.30968265440886e-17 0.796521226578568 0.560681838497034 0.685277802607486
"28" "MEbisque4" 0.0710963216101135 -0.0931876688966061 -0.0489015365503264 0.00828326569525078 0.11945802030364 -3.29597460435593e-17 0.743374858818893 0.597089676340429 0.703712832829791
"29" "MEdarkseagreen4" -0.0304685873344816 0.126053019911049 -0.0457062826431957 -0.0470187285445653 -0.042704678547391 -6.10044422385177e-17 0.662774740066518 0.654379084665875 0.74463826875772
"30" "MEdarkolivegreen" -0.0191914800847854 -0.0849755161461126 0.0698636600309072 0.0906716292046417 -0.0540143572404818 1.31549863594908e-17 0.629243960149694 0.678768014893029 0.746644816382332
"31" "MEred" 0.0724405646485548 0.0620981746727824 -0.0277062246999746 -0.111217981620619 0.00806743124301382 -4.66206934168767e-18 0.562168342562666 0.728079798701111 0.775052688939893
"32" "MElavenderblush3" 0.0187850503264999 -0.0631697132123363 -0.0388268193812861 0.0534223849993839 0.0577250624693822 -2.80446961949584e-17 0.296633926039598 0.911001190344035 0.939469977542286
"33" "MEivory" 0.0448152785604124 -0.00670884156160379 0.0212762985064946 -0.078334935213829 0.0365712796661609 -6.90998184597428e-17 0.225991713224222 0.94838621894343 0.94838621894343
