"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"21" "black" "R-MMU-5628897" "TP53 Regulates Metabolic Genes" "21/979" "67/6837" 0.000279710154940151 0.0114681163525462 0.0109640772512881 "Cox20/Cox11/Cox7c/Cox14/Prdx5/Cox8a/Rragd/Rraga/Prkaa2/Prdx1/Sfn/Cox6a1/Ndufa4/Cycs/Akt2/Gpi1/Prdx2/Cox4i1/Sesn3/Cox5a/Cox7b" 21
"22" "black" "R-MMU-191273" "Cholesterol biosynthesis" "11/979" "25/6837" 0.000317978837352023 0.0124445354072769 0.0118975813784345 "Srebf1/Idi1/Hmgcs1/Fdft1/Sqle/Fdps/Pmvk/Dhcr24/Cyp51/Msmo1/Sc5d" 11
"23" "black" "R-MMU-156590" "Glutathione conjugation" "12/979" "30/6837" 0.00049620138869296 0.0185751911158538 0.0177587865426954 "Gsta3/Ggt1/Gstt1/Chac2/Oplah/Ggt7/Gss/Gstm5/Gstm1/Gstm2/Gstk1/Mgst1" 12
"24" "black" "R-MMU-211859" "Biological oxidations" "31/979" "121/6837" 0.000674576074471292 0.0242004166716576 0.023136775887568 "Gsta3/Ugt1a6a/Ephx1/Bpnt1/Ggt1/Gstt1/Chac2/Bphl/Oplah/Sult4a1/Cyp39a1/Sult1c2/Ggt7/Acss2/Gss/Ptgis/Cyp7b1/Gstm5/Gstm1/Gstm2/Cyp2u1/Cyp2j6/Cyp51/Ugdh/Aldh2/Tpst1/Gstk1/Mgst1/Cyp2s1/Fdx1/Maob" 31
"25" "black" "R-MMU-425407" "SLC-mediated transmembrane transport" "42/979" "181/6837" 0.000798577633580233 0.0275030137005032 0.0262942193456733 "Slc41a1/Slc2a12/Slc41a2/Slc5a8/Slc17a8/Slc6a15/Slc22a5/Slc24a4/Slc28a3/Emb/Slc39a4/Slc38a1/Slc5a3/Slc44a4/Slc14a2/Arl2/Slc4a10/Slc12a1/Slc44a3/Slc4a2/Slc5a6/Slc5a1/Slc29a4/Ahcyl2/Slc13a4/Slco1c1/Calm3/Slc7a10/Slc25a22/Slc22a18/Slc20a2/Slc25a4/Slc18a1/Slc27a1/Slc12a4/Slc24a1/Slc38a3/Slc6a20a/Heph/Pdzd11/Slc16a2/Slco1b2" 42
"26" "black" "R-MMU-200425" "Carnitine metabolism" "7/979" "13/6837" 0.000940680386569308 0.0311509928013913 0.0297818648703319 "Slc22a5/Cpt1b/Cpt1a/Prkaa2/Cpt2/Acacb/Slc25a20" 7
"27" "black" "R-MMU-70895" "Branched-chain amino acid catabolism" "8/979" "17/6837" 0.00125411010891775 0.0399921779177104 0.0382344680379602 "Dld/Aldh6a1/Auh/Ivd/Hibadh/Acadsb/Acad8/Bckdhb" 8
"28" "black" "R-MMU-156580" "Phase II - Conjugation of compounds" "18/979" "60/6837" 0.0013262240338219 0.0407813890400233 0.0389889922725084 "Gsta3/Ugt1a6a/Bpnt1/Ggt1/Gstt1/Chac2/Oplah/Sult4a1/Sult1c2/Ggt7/Gss/Gstm5/Gstm1/Gstm2/Ugdh/Tpst1/Gstk1/Mgst1" 18
"29" "black" "R-MMU-1474290" "Collagen formation" "19/979" "65/6837" 0.00138968827444329 0.041259365665368 0.0394459611838349 "Col4a4/Col18a1/P4ha2/Loxl2/Col8a1/Loxl4/Col17a1/Col9a3/P3h1/Col8a2/Pcolce/Col1a2/Serpinh1/Loxl1/Plod2/Pcolce2/Crtap/Col4a5/Col6a5" 19
"30" "blue" "R-MMU-166166" "MyD88-independent TLR4 cascade " "10/81" "91/6837" 9.13902530737693e-08 1.61760747940572e-05 1.42376394262293e-05 "Map2k3/Nfkbia/Map3k8/Cd14/Ripk2/Jun/Tnip2/Nfkbib/Dusp4/Birc3" 10
"31" "blue" "R-MMU-937061" "TRIF(TICAM1)-mediated TLR4 signaling " "10/81" "91/6837" 9.13902530737693e-08 1.61760747940572e-05 1.42376394262293e-05 "Map2k3/Nfkbia/Map3k8/Cd14/Ripk2/Jun/Tnip2/Nfkbib/Dusp4/Birc3" 10
"32" "blue" "R-MMU-168898" "Toll-like Receptor Cascades" "11/81" "127/6837" 2.36801397542927e-07 1.93446357470202e-05 1.70265006872376e-05 "Map2k3/Nfkbia/Map3k8/Cd14/Tlr2/Ripk2/Jun/Tnip2/Nfkbib/Dusp4/Birc3" 11
"33" "blue" "R-MMU-975138" "TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation" "9/81" "79/6837" 3.07589323866008e-07 1.93446357470202e-05 1.70265006872376e-05 "Map2k3/Nfkbia/Map3k8/Cd14/Ripk2/Jun/Tnip2/Nfkbib/Dusp4" 9
"34" "blue" "R-MMU-166016" "Toll Like Receptor 4 (TLR4) Cascade" "10/81" "104/6837" 3.2786510933043e-07 1.93446357470202e-05 1.70265006872376e-05 "Map2k3/Nfkbia/Map3k8/Cd14/Ripk2/Jun/Tnip2/Nfkbib/Dusp4/Birc3" 10
"35" "blue" "R-MMU-975155" "MyD88 dependent cascade initiated on endosome" "9/81" "80/6837" 3.43283478074434e-07 1.93446357470202e-05 1.70265006872376e-05 "Map2k3/Nfkbia/Map3k8/Cd14/Ripk2/Jun/Tnip2/Nfkbib/Dusp4" 9
"36" "blue" "R-MMU-168181" "Toll Like Receptor 7/8 (TLR7/8) Cascade" "9/81" "81/6837" 3.82521045845033e-07 1.93446357470202e-05 1.70265006872376e-05 "Map2k3/Nfkbia/Map3k8/Cd14/Ripk2/Jun/Tnip2/Nfkbib/Dusp4" 9
"37" "blue" "R-MMU-168138" "Toll Like Receptor 9 (TLR9) Cascade" "9/81" "85/6837" 5.81051674769921e-07 2.5711536608569e-05 2.26304336489338e-05 "Map2k3/Nfkbia/Map3k8/Cd14/Ripk2/Jun/Tnip2/Nfkbib/Dusp4" 9
"38" "blue" "R-MMU-168164" "Toll Like Receptor 3 (TLR3) Cascade" "8/81" "72/6837" 1.77166866909786e-06 5.36917171495981e-05 4.72576517284598e-05 "Map2k3/Nfkbia/Map3k8/Ripk2/Jun/Tnip2/Nfkbib/Dusp4" 8
"39" "blue" "R-MMU-168142" "Toll Like Receptor 10 (TLR10) Cascade" "8/81" "74/6837" 2.18869349393146e-06 5.36917171495981e-05 4.72576517284598e-05 "Map2k3/Nfkbia/Map3k8/Ripk2/Jun/Tnip2/Nfkbib/Dusp4" 8
"40" "blue" "R-MMU-168176" "Toll Like Receptor 5 (TLR5) Cascade" "8/81" "74/6837" 2.18869349393146e-06 5.36917171495981e-05 4.72576517284598e-05 "Map2k3/Nfkbia/Map3k8/Ripk2/Jun/Tnip2/Nfkbib/Dusp4" 8
"41" "blue" "R-MMU-975871" "MyD88 cascade initiated on plasma membrane" "8/81" "74/6837" 2.18869349393146e-06 5.36917171495981e-05 4.72576517284598e-05 "Map2k3/Nfkbia/Map3k8/Ripk2/Jun/Tnip2/Nfkbib/Dusp4" 8
"42" "blue" "R-MMU-166058" "MyD88:MAL(TIRAP) cascade initiated on plasma membrane" "8/81" "75/6837" 2.42674427794794e-06 5.36917171495981e-05 4.72576517284598e-05 "Map2k3/Nfkbia/Map3k8/Ripk2/Jun/Tnip2/Nfkbib/Dusp4" 8
"43" "blue" "R-MMU-168179" "Toll Like Receptor TLR1:TLR2 Cascade" "8/81" "75/6837" 2.42674427794794e-06 5.36917171495981e-05 4.72576517284598e-05 "Map2k3/Nfkbia/Map3k8/Ripk2/Jun/Tnip2/Nfkbib/Dusp4" 8
"44" "blue" "R-MMU-168188" "Toll Like Receptor TLR6:TLR2 Cascade" "8/81" "75/6837" 2.42674427794794e-06 5.36917171495981e-05 4.72576517284598e-05 "Map2k3/Nfkbia/Map3k8/Ripk2/Jun/Tnip2/Nfkbib/Dusp4" 8
"45" "blue" "R-MMU-181438" "Toll Like Receptor 2 (TLR2) Cascade" "8/81" "75/6837" 2.42674427794794e-06 5.36917171495981e-05 4.72576517284598e-05 "Map2k3/Nfkbia/Map3k8/Ripk2/Jun/Tnip2/Nfkbib/Dusp4" 8
"46" "blue" "R-MMU-448424" "Interleukin-17 signaling" "6/81" "51/6837" 2.70012744550398e-05 0.00053102506428245 0.000467390481794842 "Map2k3/Map3k8/Ripk2/Jun/Tnip2/Dusp4" 6
"47" "blue" "R-MMU-450294" "MAP kinase activation" "6/81" "51/6837" 2.70012744550398e-05 0.00053102506428245 0.000467390481794842 "Map2k3/Map3k8/Ripk2/Jun/Tnip2/Dusp4" 6
"48" "blue" "R-MMU-1280215" "Cytokine Signaling in Immune system" "14/81" "334/6837" 3.11013461504423e-05 0.000579467186171399 0.00051002761554188 "Map2k3/Nfkbia/Socs1/Tnf/Tnfsf9/Map3k8/Clcf1/Il1a/Ripk2/Jun/Tnip2/Nfkbib/Dusp4/Birc3" 14
"49" "blue" "R-MMU-449147" "Signaling by Interleukins" "11/81" "229/6837" 7.17389694361647e-05 0.00126977975902012 0.00111761762911078 "Map2k3/Nfkbia/Socs1/Map3k8/Clcf1/Il1a/Ripk2/Jun/Tnip2/Nfkbib/Dusp4" 11
"50" "blue" "R-MMU-168643" "Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways" "5/81" "41/6837" 0.000110555387856695 0.00186364796672714 0.00164032054163316 "Tnfaip3/Nlrp3/Ripk2/Casp4/Birc3" 5
"51" "blue" "R-MMU-168638" "NOD1/2 Signaling Pathway" "4/81" "28/6837" 0.000301534416569305 0.00485196288479699 0.00427053527772795 "Tnfaip3/Ripk2/Casp4/Birc3" 4
"52" "blue" "R-MMU-2559583" "Cellular Senescence" "5/81" "82/6837" 0.00275720425110202 0.0422935404605829 0.0372253582406558 "Map2k3/Kdm6b/Ets2/Cdkn1a/Jun" 5
"53" "blue" "R-MMU-5688426" "Deubiquitination" "8/81" "206/6837" 0.00288989992252731 0.0422935404605829 0.0372253582406558 "Tnfaip3/Nlrp3/Nfkbia/Myc/Adrb2/Ripk2/Tnip2/Birc3" 8
"54" "blue" "R-MMU-73887" "Death Receptor Signalling" "6/81" "121/6837" 0.002986831953431 0.0422935404605829 0.0372253582406558 "Tnfaip3/Nfkbia/Tnf/Ripk2/Akap13/Birc3" 6
"55" "antiquewhite4" "R-MMU-446193" "Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein" "9/187" "62/6837" 4.09956873574944e-05 0.01865303774766 0.0178654890168449 "Npl/Alg1/St3gal6/St6galnac4/Slc35c1/Ctsa/Srd5a3/Dpagt1/Renbp" 9
"56" "antiquewhite4" "R-MMU-1660662" "Glycosphingolipid metabolism" "6/187" "36/6837" 0.0003797667207694 0.0442802566619766 0.042410702736977 "Arsk/Ctsa/B3galnt1/Gba/Asah1/Hexa" 6
"57" "antiquewhite4" "R-MMU-446219" "Synthesis of substrates in N-glycan biosythesis" "7/187" "52/6837" 0.000483096069389559 0.0442802566619766 0.042410702736977 "Npl/St3gal6/St6galnac4/Slc35c1/Ctsa/Srd5a3/Renbp" 7
