"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"22" "black" "mmu00071" "Fatty acid degradation - Mus musculus (house mouse)" "17/920" "41/6190" 3.23153516156477e-05 0.000487668033472501 0.000429840562160289 "11363/216739/11370/11430/69123/12895/13177/110695/52538/12894/71519/11364/12896/231086/11669/78070/66885" 17
"23" "black" "mmu01230" "Biosynthesis of amino acids - Mus musculus (house mouse)" "22/920" "63/6190" 5.70946867628201e-05 0.000824149391532881 0.000726422101604759 "15926/56421/21881/11429/18642/18563/18648/14718/226265/11898/107869/13806/257635/13807/21991/14433/11674/76615/14719/67834/18746/18655" 22
"24" "black" "mmu00640" "Propanoate metabolism - Mus musculus (house mouse)" "13/920" "28/6190" 6.75248647213158e-05 0.000934093961978202 0.000823329490900254 "380660/11430/13382/104776/20916/110821/268860/60525/100705/56451/16832/73724/12040" 13
"25" "black" "mmu00260" "Glycine, serine and threonine metabolism - Mus musculus (house mouse)" "15/920" "37/6190" 0.00012797695200745 0.00167187484078524 0.00147362462187158 "27364/13382/12116/74129/218865/26912/14711/110695/104174/18648/107869/76238/257635/109731/58865" 15
"26" "black" "mmu04260" "Cardiac muscle contraction - Mus musculus (house mouse)" "24/920" "75/6190" 0.000130929957410892 0.00167187484078524 0.00147362462187158 "12859/11931/98660/66594/66152/22272/66694/67530/12867/140781/12864/66445/12868/12861/81904/333182/12865/67003/12869/12857/12858/12866/56808/66142" 24
"27" "black" "mmu01040" "Biosynthesis of unsaturated fatty acids - Mus musculus (house mouse)" "13/920" "31/6190" 0.000241053596635046 0.00296406644751242 0.00261258868867613 "11430/26897/74559/56473/76267/329065/20249/30963/170439/230161/106529/83603/217698" 13
"28" "black" "mmu00785" "Lipoic acid metabolism - Mus musculus (house mouse)" "9/920" "17/6190" 0.000268188525848915 0.00317994966363713 0.00280287256338339 "18293/13382/78920/68263/239017/104174/235339/12040/18597" 9
"29" "black" "mmu00062" "Fatty acid elongation - Mus musculus (house mouse)" "11/920" "28/6190" 0.00139036398629509 0.0159172704637921 0.0140298071938307 "26897/74559/52538/30963/170439/26922/231086/106529/83603/217698/66198" 11
"30" "black" "mmu00270" "Cysteine and methionine metabolism - Mus musculus (house mouse)" "15/920" "45/6190" 0.00147472740666109 0.016320316633716 0.0143850603176064 "17449/12116/14711/14718/70266/14854/229709/107869/257635/17448/74340/16832/76615/14719/234724" 15
"31" "black" "mmu00670" "One carbon pool by folate - Mus musculus (house mouse)" "12/920" "33/6190" 0.00187034417608876 0.0200307827890796 0.017655540949157 "13382/108156/12116/74129/218865/14711/110695/104174/229709/107869/74340/107747" 12
