"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","description","entrez","result"
7481.05894092468,-0.740002888062807,0.155517925103141,-4.75831250688325,1.95218103525548e-06,2.66560949347953e-05,"Bank1","B cell scaffold protein with ankyrin repeats 1","242248","HPP_vs_CTX"
361.890339528217,-0.738560176229815,0.222977733319435,-3.3122597724669,0.00092545568668106,0.00617883011356968,"Nod2","nucleotide-binding oligomerization domain containing 2","257632","HPP_vs_CTX"
771.829181602992,-0.737806665162296,0.160179068333902,-4.60613657475081,4.10219020964245e-06,5.17019251195881e-05,"Lix1","limb and CNS expressed 1","66643","HPP_vs_CTX"
101.39747482936,-0.737593535892991,0.250256549210569,-2.94734958273708,0.0032051063999079,0.0174348124517603,"B230311B06Rik","RIKEN cDNA B230311B06 gene","381914","HPP_vs_CTX"
629.245083391081,-0.735166712030238,0.231274839372861,-3.17875785374562,0.00147907596606754,0.00911538764048097,"Rnase10","ribonuclease, RNase A family, 10 (non-active)","75019","HPP_vs_CTX"
81.3228787308769,-0.734236879960808,0.270562127457552,-2.71374595868374,0.00665271617099244,0.0319990556879258,"Gm20257","caspase 8 pseudogene","100504501","HPP_vs_CTX"
2338.58789937388,-0.733894187555845,0.230334570629676,-3.18620945848279,0.001441501927637,0.00891178411712799,"Gm31003","predicted gene, 31003","102633093","HPP_vs_CTX"
9044.43107168997,-0.733030556930356,0.196375354013062,-3.73280323599874,0.000189360517673642,0.00156475389604364,"Cbfa2t3","CBFA2/RUNX1 translocation partner 3","12398","HPP_vs_CTX"
117628.167786911,-0.720967406491562,0.139522825015471,-5.16737964853865,2.37398734630756e-07,3.92009690193244e-06,"Lag3","lymphocyte-activation gene 3","16768","HPP_vs_CTX"
1702.93060545093,-0.720692827686371,0.265634406633117,-2.71310044817259,0.00666568978380826,0.0320298311806422,"2900026A02Rik","RIKEN cDNA 2900026A02 gene","243219","HPP_vs_CTX"
21539.9305218574,-0.713171222720737,0.133304530961031,-5.34993985260123,8.7983468683312e-08,1.60972571576933e-06,"Cd300a","CD300A molecule","217303","HPP_vs_CTX"
778.955265430744,-0.708357823377167,0.230348742295127,-3.07515385723099,0.00210393988044208,0.0122304191750984,"Sdk1","sidekick cell adhesion molecule 1","330222","HPP_vs_CTX"
20865.4242920677,-0.70648071303909,0.166173935466077,-4.25145322013097,2.12387876434013e-05,0.00022464029464541,"Maf","avian musculoaponeurotic fibrosarcoma oncogene homolog","17132","HPP_vs_CTX"
1832.16133897895,-0.704836921794701,0.1407692345123,-5.00703810911976,5.52739865200286e-07,8.46708826527325e-06,"Gpr35","G protein-coupled receptor 35","64095","HPP_vs_CTX"
9199.69935510037,-0.70373967758446,0.117363877254104,-5.99622042190031,2.01962845697042e-09,4.98132411190743e-08,"Lrrc25","leucine rich repeat containing 25","211228","HPP_vs_CTX"
24320.9650416045,-0.701853150119606,0.177762185826899,-3.94827025137424,7.87179118608312e-05,0.000726583852490903,"Abca1","ATP-binding cassette, sub-family A (ABC1), member 1","11303","HPP_vs_CTX"
14257.4652704203,-0.701371557805201,0.0986809766851288,-7.10746469446828,1.18193957764855e-12,4.58766786264583e-11,"Spint1","serine protease inhibitor, Kunitz type 1","20732","HPP_vs_CTX"
34944.0769445605,-0.699629434136633,0.13224619888993,-5.2903557153952,1.22078695585143e-07,2.15657605029602e-06,"Crybb1","crystallin, beta B1","12960","HPP_vs_CTX"
4839.52912896018,-0.699583924575611,0.197763046620744,-3.53748557442698,0.000403956251841235,0.0030240030627295,"Nectin4","nectin cell adhesion molecule 4","71740","HPP_vs_CTX"
